word,meaning,part_of_speech,examples,meaning_vi,phonetic
relieved,"
+) provide physical relief, as from pain
+) free someone temporarily from his or her obligations
+) grant relief or an exemption from a rule or requirement to","v, s","
+) This pill will relieve your headaches
+) She exempted me from the exam
+) The news eased my conscience","+) cảm thấy bớt căng thẳng, thể hiện bớt căng thẳngrelieve /ri'li:v/
+) làm an tâm, làm yên lòng, làm dịu, làm khuây khoả, an ủi
+) làm nhẹ bớt, giảm bớt (gánh nặng, lo âu, phiền muộn...)
+) giúp đỡ, cứu giúp, cứu trợ
+) giải vây",relieve
stand,"
+) a support or foundation
+) the position where a thing or person stands
+) a growth of similar plants (usually trees) in a particular area","n, v","
+) the base of the lamp
+) they cut down a stand of trees
+) a bedside stand","+) sự dừng lại, sự đứng lại
+) sự chống cự, sự đấu tranh chống lại
+) chỗ đứng, vị trí
+) lập trường, quan điểm
+) giá, mắc (áo, ô)",base
muscular,"
+) of or relating to or consisting of muscle
+) having a robust muscular body-build characterized by predominance of structures (bone and muscle and connective tissue) developed from the embryonic mesodermal layer
+) having or suggesting great physical power or force","s, a","
+) muscular contraction
+) the muscular and passionate Fifth Symphony
+) a hefty athlete","+) (thuộc) bắp thịt, (thuộc) cơ
+) nổi bắp, có bắp thịt rắn chắc, vạm vỡ, khoẻ",muscular
getting,"
+) the act of acquiring something
+) come into the possession of something concrete or abstract
+) enter or assume a certain state or condition","n, v","
+) I envied his talent for acquiring
+) he's much more interested in the getting than in the giving
+) She got a lot of paintings from her uncle","+) (ngành mỏ) sự khấu; sự khai thác
+) lợi ích; thu hoạchget /get/
+) được, có được, kiếm được, lấy được
+) nhận được, xin được, hỏi được
+) tìm ra, tính ra",acquiring
underneath,"
+) on the lower or downward side; on the underside of
+) under or below an object or a surface; at a lower place or level; directly beneath",r,"
+) a chest of drawers all scratched underneath
+) we could see the original painting underneath
+) a house with a good foundation underneath","+) bên dưới, dưới
+) phần dưới, bên dưới, mặt dưới
+) ở dưới",underneath
wise,"
+) a way of doing or being
+) United States Jewish leader (born in Hungary) (1874-1949)
+) United States religious leader (born in Bohemia) who united reform Jewish organizations in the United States (1819-1900)","n, s, a","
+) in no wise
+) in this wise
+) a wise leader","+) khôn, khôn ngoan
+) có kinh nghiệm, từng tri, hiểu biết, lịch duyệt
+) thông thạo
+) uyên bác
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) láu, ma lanh, tài xoay",wise
grudgingly,"
+) in a grudging manner",r,"
+) he grudgingly agreed to have a drink in a hotel close by","+) bất đắc dự, miễn cưỡng",grudgingly
tend,"
+) have a tendency or disposition to do or be something; be inclined
+) have care of or look after
+) manage or run",v,"
+) She tends to be nervous before her lectures
+) These dresses run small
+) He inclined to corpulence","+) trông nom, săn sóc, chăm sóc, chăm nom, giữ gìn
+) (+ on,  upon) theo, theo hầu, hầu hạ, phục vụ
+) quay về, xoay về, hướng về, đi về
+) hướng tới, nhắm tới
+) có khuynh hướng",tend
rumbling,"
+) a loud low dull continuous noise
+) make a low noise
+) to utter or emit low dull rumbling sounds","n, s, v","
+) they heard the rumbling of thunder
+) rumbling thunder
+) he grumbled a rude response","+) sự quay mài
+) (thán từ,  số nhiều) tình trạng bất bình chung của dân chúng nhưng không nói rarumble /'rʌmbl/
+) tiếng ầm ầm
+) tiếng sôi bụng ùng ục
+) chỗ đằng sau xe ngựa (để ngồi hoặc để hành lý)",rumble
silence,"
+) the state of being silent (as when no one is speaking)
+) the absence of sound
+) a refusal to speak when expected","n, v","
+) there was a shocked silence
+) he gestured for silence
+) he needed silence in order to sleep","+) sự lặng thinh, sự nín lặng
+) tính trầm lặng
+) sự im hơi lặng tiếng
+) sự lãng quên
+) sự yên lặng, sự yên tĩnh, sự tĩnh mịch",silence
steadily,"
+) at a steady rate or pace
+) in a steady manner",r,"
+) his interest eroded steadily
+) he could still walk steadily","+) vững, vững chắc, vững vàng
+) đều đặn, đều đều
+) kiên định, không thay đổi; trung kiên
+) vững vàng, bình tựnh, điềm tựnh
+) đứng đắn, chín chắn",steadily
headlight,"
+) a powerful light with reflector; attached to the front of an automobile or locomotive",n,"
+) ","+) đèn pha (ô tô, xe lửa, xe điện, tàu thuỷ...)",headlight
swelled,"
+) increase in size, magnitude, number, or intensity
+) become filled with pride, arrogance, or anger
+) expand abnormally","v, s","
+) The music swelled to a crescendo
+) The mother was swelling with importance when she spoke of her son
+) The bellies of the starving children are swelling",,swell
anda,,,,,
landed,"
+) reach or come to rest
+) cause to come to the ground
+) bring into a different state","v, a","
+) The bird landed on the highest branch
+) The plane landed in Istanbul
+) the pilot managed to land the airplane safely","+) (thuộc) đất đai; có đất
+) (Econ) Đất đai.
+) Một thuật ngữ sử dụng trong kinh tế học để miêu tả không chỉ phần bề mặt trái đất không tính đến biến mà còn bao gồm toàn bộ tài nguyên thiên nhiên như rừng, khoáng sản, nguồn lực biển, độ màu của đất… có thể được sử dụng trong quá trình sản xuất.land /lænd/
+) đất; đất liền
+) đất, đất trồng, đất đai",land
astride,"
+) with one leg on each side
+) with the legs stretched far apart",r,"
+) she sat astride the chair","+) cưỡi lên, ngồi như cưỡi ngựa
+) đứng dạng chân
+) (+ of) cưỡi lên
+) (quân sự) đóng chắn ngang đường",astride
bushy,"
+) used of hair; thick and poorly groomed
+) resembling a bush in being thickly branched and spreading",s,"
+) bushy locks
+) a shaggy beard","+) có nhiều bụi cây
+) mọc rậm rạp",bushy
size,"
+) the physical magnitude of something (how big it is)
+) the property resulting from being one of a series of graduated measurements (as of clothing)
+) any glutinous material used to fill pores in surfaces or to stiffen fabrics","n, s, v","
+) a wolf is about the size of a large dog
+) he wears a size 13 shoe
+) size gives body to a fabric","+) kích thước, độ lớn
+) cỡ, khổ, số
+) dụng cụ (để) đo ngọc
+) suất ăn, khẩu phần (ở đại học Căm-brít) ((cũng) sizing)
+) (sử học) chuẩn mực cân đo",size
leather,"
+) an animal skin made smooth and flexible by removing the hair and then tanning
+) whip with a leather strap","n, v","
+) ","+) da thuộc
+) đồ da, vật làm bằng da thuộc
+) dây da
+) (số nhiều) quần cộc
+) (số nhiều) xà cạp bằng da",leather
vast,"
+) unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge",s,"
+) huge government spending
+) huge country estates
+) huge popular demand for higher education","+) rộng lớn, mênh mông, bao la; to lớn ((nghĩa đen) &amp;amp; (nghĩa bóng))
+) (thơ ca); (văn học) khoảng rộng bao la
+) rộng, to, lớn",huge
burying,"
+) concealing something under the ground
+) cover from sight
+) place in a grave or tomb","n, v","
+) Afghani women buried under their burkas
+) Stalin was buried behind the Kremlin wall on Red Square
+) The pharaohs were entombed in the pyramids",,burying
poor,"
+) people without possessions or wealth (considered as a group)
+) deserving or inciting pity; ; ; - Galsworthy
+) having little money or few possessions","n, s, a","
+) the urban poor need assistance
+) a hapless victim
+) miserable victims of war","+) nghèo, bần cùng
+) xấu, tồi, kém, yếu
+) thô thiển
+) đáng thương, tội nghiệp
+) đáng khinh, tầm thường, không đáng kể",poor_people
growing,"
+) (biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level
+) (electronics) the production of (semiconductor) crystals by slow crystallization from the molten state
+) pass into a condition gradually, take on a specific property or attribute; become","n, a, v","
+) he proposed an indicator of osseous development in children
+) The weather turned nasty
+) She grew angry","+) sự lớn lên
+) sự nuôi; sự trồng
+) đang lớn lên
+) (từ Mỹ,nghĩa Mỹ) những khó khăn mới (của kế hoạch mới, của sự phát triển mau chóng)
+) giúp cho sự lớn lên",growth
engine,"
+) motor that converts thermal energy to mechanical work
+) something used to achieve a purpose
+) a wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks",n,"
+) an engine of change
+) medieval engines of war","+) máy động cơ
+) đầu máy (xe lửa)
+) dụng cụ chiến tranh
+) dụng cụ, phương tiện
+) lắp máy vào (thu...); gắn động cơ vào",engine
nodding,"
+) express or signify by nodding
+) lower and raise the head, as to indicate assent or agreement or confirmation
+) let the head fall forward through drowsiness","v, s","
+) He nodded his approval
+) The teacher nodded when the student gave the right answer
+) The old man was nodding in his chair",,nod
reply,"
+) a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
+) the speech act of continuing a conversational exchange
+) react verbally","n, v","
+) I waited several days for his answer
+) he wrote replies to several of his critics
+) he growled his reply","+) câu trả lời, lời đáp
+) trả lời, đáp lại
+) trả lời // câu trả lời",answer
slinking,"
+) walk stealthily",v,"
+) I saw a cougar slinking toward its prey",,slink
heel,"
+) the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
+) the back part of the human foot
+) someone who is morally reprehensible","n, v","
+) you dirty dog
+) The balloon heeled over
+) the wind made the vessel heel","+) gót chân
+) gót móng (ngựa...); (số nhiều) chân sau (loài thú bốn chân)
+) gót (giày, bít tất)
+) đầu cán vĩ (đàn viôlông); đầu cong (của gậy đánh gôn)
+) (hàng hải) đuôi sống tàu; chân cột buồm",heel
swish,"
+) a brushing or rustling sound
+) move with or cause to move with a whistling or hissing sound
+) elegant and fashionable; ; ; ; - Julia Child","n, s, v","
+) The bubbles swoshed around in the glass
+) The curtain swooshed open
+) classy clothes","+) (thông tục) bảnh, diện, mốt
+) tiếng rào rào, tiếng vun vút; tiếng sột soạt (quần áo mới...)
+) cái vụt, cái quất vun vút (bằng roi)
+) cái roi
+) ào ào, vun vút; sột soạt",swish
breeze,"
+) a slight wind (usually refreshing)
+) any undertaking that is easy to do
+) blow gently and lightly","n, v","
+) the breeze was cooled by the lake
+) as he waited he could feel the air on his neck
+) marketing this product will be no picnic","+) ruồi trâu
+) than cám
+) gió nhẹ
+) (địa lý,địa chất) gió brizơ
+) (từ lóng) sự cãi cọ",breeze
