word,meaning,part_of_speech,examples,phonetic,meaning_vi
gave,"cause to have, in the abstract sense or physical sense",v,"She gave him a black eye
The draft gave me a cold",give,"
+) cho, biếu, tặng, ban
+) cho, sinh ra, đem lại
+) nêu cho; đưa cho, trao cho, đem cho, chuyển cho
+) truyền cho, làm lây sang
+) trả (tiền...); trao đổi
+) (đi đôi với danh từ thanh một cụm từ)
+) làm cho, gây ra
+) cống hiến, hiến dâng; ham mê, miệt mài, chuyên tâm
+) tổ chức, mở, thết (một buổi dạ hội...); biểu diễn, diễn (kịch), đóng (một vai tuồng); hát dạo (một bản nhạc...), ngâm (một bài thơ...)
+) tan, vỡ, sụp đổ; lún xuống, trĩu xuống; có thể nhún nhẩy, co giãn (như lò xo)
+) quay ra, nhìn ra, dẫn
+) chỉ, đưa ra, để lộ ra
+) đồng ý, thoả thuận; nhường, nhượng bộ
+) coi như, cho là, cho rằng
+) quyết định xử
+) cho
+) trao, phát (phần thưởng)
+) tố cáo, phát giác; để lộ, phản bội
+) hoàn lại, trả lại
+) toả ra, phát ra, bốc (sức nóng, ánh sáng, mùi, tiếng...)
+) công bố (tin tức...)
+) nhượng bộ, chịu thua
+) nộp (tài liêu...)
+) ghi vào, điền vào
+) toả ra, phát ra, bốc ra, bốc lên, xông lên (mùi, hơi nóng, khói...)
+) chia, phân phối
+) toả ra, phát ra, làm bay ra, bốc lên, xông lên (hơi nóng, mùi...)
+) rao, công bố
+) hết, cạn
+) bị hư, bị hỏng (máy móc); mệt, quỵ, kiệt đi (sức)
+) (từ Mỹ,nghĩa Mỹ) cho (phỏng vấn)
+) thôi, chấm dứt
+) vứt bỏ, bỏ
+) bỏ, từ bỏ
+) nhường
+) (y học) coi như là tuyệt vọng, cho như là không chữa được
+) trao, nộp (cho nhà chức trách...)
+) khai báo (đồng bọn)
+) đam mê, đắm đuối, miệt mài (học tập)
+) (xem) back
+) ăn miếng chả, trả miếng bùi
+) (chỉ lời mệnh lệnh) tôi thích, tôi phục
+) mắng mỏ ai, xỉ vả đánh đập ai
+) (từ lóng) mắng mỏ (chỉnh, xỉ vả) ai, trừng phạt ai nghiêm khắc
+) công bố
+) (xem) day
+) nhượng bộ; chịu thua
+) kiệt đi (sức khoẻ)
+) cong, oằn, lún xuống, tan, gây, đứt
+) (thương nghiệp) bị giảm giá, sụt xuống
+) (hàng hải) rán sức chèo
+) bị bật đi, bị thay thế
+) tính đàn hồi, tính co giân, tính nhún nhảy được
+) sự có đi có lại
+) sự nhượng bộ lẫn nhau, sự thoả hiệp
+) sự bông đùa qua lạigive /giv/
+) cho, biếu, tặng, ban
+) cho, sinh ra, đem lại
+) nêu cho; đưa cho, trao cho, đem cho, chuyển cho
+) truyền cho, làm lây sang
+) trả (tiền...); trao đổi
+) (đi đôi với danh từ thanh một cụm từ)
+) làm cho, gây ra
+) cống hiến, hiến dâng; ham mê, miệt mài, chuyên tâm
+) tổ chức, mở, thết (một buổi dạ hội...); biểu diễn, diễn (kịch), đóng (một vai tuồng); hát dạo (một bản nhạc...), ngâm (một bài thơ...)
+) tan, vỡ, sụp đổ; lún xuống, trĩu xuống; có thể nhún nhẩy, co giãn (như lò xo)
+) quay ra, nhìn ra, dẫn
+) chỉ, đưa ra, để lộ ra
+) đồng ý, thoả thuận; nhường, nhượng bộ
+) coi như, cho là, cho rằng
+) quyết định xử
+) cho
+) trao, phát (phần thưởng)
+) tố cáo, phát giác; để lộ, phản bội
+) hoàn lại, trả lại
+) toả ra, phát ra, bốc (sức nóng, ánh sáng, mùi, tiếng...)
+) công bố (tin tức...)
+) nhượng bộ, chịu thua
+) nộp (tài liêu...)
+) ghi vào, điền vào
+) toả ra, phát ra, bốc ra, bốc lên, xông lên (mùi, hơi nóng, khói...)
+) chia, phân phối
+) toả ra, phát ra, làm bay ra, bốc lên, xông lên (hơi nóng, mùi...)
+) rao, công bố
+) hết, cạn
+) bị hư, bị hỏng (máy móc); mệt, quỵ, kiệt đi (sức)
+) (từ Mỹ,nghĩa Mỹ) cho (phỏng vấn)
+) thôi, chấm dứt
+) vứt bỏ, bỏ
+) bỏ, từ bỏ
+) nhường
+) (y học) coi như là tuyệt vọng, cho như là không chữa được
+) trao, nộp (cho nhà chức trách...)
+) khai báo (đồng bọn)
+) đam mê, đắm đuối, miệt mài (học tập)
+) (xem) back
+) ăn miếng chả, trả miếng bùi
+) (chỉ lời mệnh lệnh) tôi thích, tôi phục
+) mắng mỏ ai, xỉ vả đánh đập ai
+) (từ lóng) mắng mỏ (chỉnh, xỉ vả) ai, trừng phạt ai nghiêm khắc
+) công bố
+) (xem) day
+) nhượng bộ; chịu thua
+) kiệt đi (sức khoẻ)
+) cong, oằn, lún xuống, tan, gây, đứt
+) (thương nghiệp) bị giảm giá, sụt xuống
+) (hàng hải) rán sức chèo
+) bị bật đi, bị thay thế
+) tính đàn hồi, tính co giân, tính nhún nhảy được
+) sự có đi có lại
+) sự nhượng bộ lẫn nhau, sự thoả hiệp
+) sự bông đùa qua lại"
informed,"impart knowledge of some fact, state or affairs, or event to",v,I informed him of his rights,inform,"
+) có nhiều tin tức, nắm được tình hìnhinform /in'fɔ:m/
+) báo tin cho; cho biết
+) truyền cho (ai...) (tình cảm, đức tính...)
+) cung cấp tin tức
+) cung cấp tài liệu (để buộc tội cho ai)
+) thông tin, truyền dữ kiện, thông báo"
portion,something determined in relation to something that includes it,n,"he wanted to feel a part of something bigger than himself
I read a portion of the manuscript
the smaller component is hard to reach",part,"
+) phần, phần chia
+) phần thức ăn (đựng ở đĩa đem lên cho khách, ở quán ăn)
+) của hồi môn
+) số phận, số mệnh
+) ((thường) + out) chia thành từng phần, chia ra
+) chia phần cho, phân phối
+) cho của hồi môn
+) một phần, một khúc, một đoạn
+) p. of series khúc của chuỗi"
largest,above average in size or number or quantity or magnitude or extent,a,"a large city
set out for the big city
a large sum",large,"
+) lớn nhấtlarge /lɑ:dʤ/
+) rộng, lớn, to
+) rộng rãi
+) (từ cổ,nghĩa cổ) rộng lượng, hào phóng
+) to như vật thật
+) (+ at) tự do, không bị giam cầm
+) đầy đủ chi tiết, dài dòng
+) nói chung
+) rộng rãi
+) huênh hoang, khoác lác
+) (xem) by
+) chạy xiên gió (tàu)
+) lớn, rộng in the l. nói chung, trong toàn cục"
besides,making an additional point; anyway,r,"I don't want to go to a restaurant; besides, we can't afford it
she couldn't shelter behind him all the time and in any case he wasn't always with her",besides,"
+) ngoài ra, hơn nữa, vả lại, vả chăng
+) ngoài... ra"
ministry,religious ministers collectively (especially Presbyterian),n,,ministry,"
+) Bộ
+) chính phủ nội các
+) chức bộ trưởng; nhiệm kỳ bộ trưởng
+) (tôn giáo) đoàn mục sư"
living,the experience of being alive; the course of human events and activities,n,he could no longer cope with the complexities of life,life,"
+) cuộc sống sinh hoạt
+) cách sinh nhai, sinh kế
+) người sống
+) (tôn giáo) môn nhập khoản, hoa lợi
+) sự ăn uống sang trong xa hoa
+) sống, đang sống, đang tồn tại; sinh động
+) giống lắm, giống như hệt
+) đang cháy, đang chảy (than, củi, nước)
+) tình trạng sống dở chết dởlive /liv /
+) sống
+) ở, trú tại
+) thoát nạn (tàu thuỷ)
+) sống
+) thực hiện được (trong cuộc sống)
+) kiếm sống bằng
+) để thời gian làm quên đi, để thời gian làm xoá nhoà
+) phá tan, làm mất đi bằng thái độ cư xử đứng đắn (thành kiến, lỗi lầm...)
+) ở nơi làm việc; ở ngay trong khu làm việc
+) sống bằng
+) sống sót
+) sống qua được (người ốm)
+) sống ở ngoài nơi làm việc
+) sống sót, trải qua
+) sống theo
+) sống với, sống chung với; chịu đựng, đành chịu (cái gì)
+) sống dè xẻn
+) (xem) clover
+) sống hai cuộc đời, đóng hai vai trò khác nhau trong cuộc sống
+) (xem) fast
+) sống lần hồi, kiếm ngày nào ăn ngày nấy
+) sống cực khổ
+) (xem) high
+) sống dĩ hoà vi quí, sống đèn nhà ai người ấy ráng, sống mũ ni che tai
+) sống giản dị và bình lặng
+) ăn ngon[laiv]
+) sống, hoạt động
+) (đùa cợt) thực (không phải ở trong tranh hay là đồ chơi)
+) đang cháy đỏ
+) chưa nổ, chưa cháy
+) đang quay
+) có dòng điện chạy qua
+) tại chỗ, trong lúc sự việc xảy ra
+) mạnh mẽ, đầy khí lực
+) nóng hổi, có tính chất thời sự
+) sống, tồn tại // hoạt; sinh thực"
she,,,,,"
+) nó, bà ấy, chị ấy, cô ấy...
+) nó (chỉ tàu, xe... đã được nhân cách hoá), tàu ấy, xe ấy
+) người đàn bà, chị
+) đàn bà, con gái
+) con cái
+) (trong từ ghép chỉ động vật) cái"
satisfaction,"the contentment one feels when one has fulfilled a desire, need, or expectation",n,the chef tasted the sauce with great satisfaction,satisfaction,"
+) sự làm cho thoả mãn; sự vừa lòng, sự toại ý, sự thoả mãn
+) sự trả nợ; sự làm tròn nhiệm vụ
+) (tôn giáo) sự chuộc tội (của Chúa)
+) dịp rửa thù (bằng đầu kiếm...)"
preventive,remedy that prevents or slows the course of an illness or disease,n,the doctor recommended several preventatives,preventive,"
+) ngăn ngừa, phòng ngừa
+) (y học) phòng bệnh
+) biện pháp phòng ngừa
+) thuốc phòng bệnh, cách phòng bệnh"
comply,"act in accordance with someone's rules, commands, or wishes",v,"He complied with my instructions
You must comply or else!
Follow these simple rules",comply,"
+) tuân theo, chiếu theo, đồng ý làm theo"
inconsistency,the relation between propositions that cannot both be true at the same time,n,,incompatibility,"
+) sự mâu thuẫn, sự trái nhau; sự không trước sau như một
+) lời tuyên bố đấy mâu thuẫn
+) hành động không trước sau như một
+) tính không nhất quán"
children,a young person of either sex,n,"she writes books for children
they're just kids
`tiddler' is a British term for youngster",child,"
+) đứa bé, đứa trẻ
+) đứa con
+) (nghĩa bóng) kết quả, hậu quả, sản phẩm
+) người lớn mà tính như trẻ con
+) có mang sắp đến tháng đẻ
+) (xem) fire
+) (từ lóng) bõ già này
+) từ lúc còn thơchild /tʃaild/
+) đứa bé, đứa trẻ
+) đứa con
+) (nghĩa bóng) kết quả, hậu quả, sản phẩm
+) người lớn mà tính như trẻ con
+) có mang sắp đến tháng đẻ
+) (xem) fire
+) (từ lóng) bõ già này
+) từ lúc còn thơ
+) (Tech) con"
women,an adult female person (as opposed to a man),n,the woman kept house while the man hunted,woman,"
+) đàn bà, phụ nữ
+) giới đàn bà, nữ giới
+) kẻ nhu nhược (như đàn bà)
+) tính chất đàn bà, tình cảm đàn bà, nữ tính
+) (từ cổ,nghĩa cổ) bà hầu cận (của vua, của một nhà quý tộc)
+) (định ngữ) nữ, đàn bà, gái
+) (xem) honest
+) bị đàn bà xỏ mũi
+) linh tính, sự khôn ngoan
+) người đàn bà đã từng trốn chúa lộn chồngwoman /'wumən/
+) đàn bà, phụ nữ
+) giới đàn bà, nữ giới
+) kẻ nhu nhược (như đàn bà)
+) tính chất đàn bà, tình cảm đàn bà, nữ tính
+) (từ cổ,nghĩa cổ) bà hầu cận (của vua, của một nhà quý tộc)
+) (định ngữ) nữ, đàn bà, gái
+) (xem) honest
+) bị đàn bà xỏ mũi
+) linh tính, sự khôn ngoan
+) người đàn bà đã từng trốn chúa lộn chồng"
titled,give a title to,v,,entitle,"
+) có tước vị, có chức tướctitle /'taitl/
+) tên (sách); nhan đề
+) tước; danh hiệu
+) tư cách, danh nghĩa
+) tuổi (của một hợp kim vàng...), chuẩn độ
+) (pháp lý) quyền sở hữu; chứng thư, văn tự"
visiting,the activity of making visits,n,"the purpose was to promote homes, clubs, visiting, and other services",visiting,"
+) sự thăm hỏi, sự thăm viếng
+) đang thăm, thăm viếng
+) sự đi thăm, sự thăm hỏi, sự thăm viếng
+) sự tham quan; thời gian ở lại thăm
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) cuộc truyện trò thân mật (lúc đến thăm nhau)
+) (y học) sự khám bệnh, sự thăm bệnh
+) (pháp lý) sự thăm hỏi
+) (pháp lý) sự đến khám, sự khám xét
+) đi thăm hỏi
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) chuyện trò thân mật (lúc đến thăm nhau)
+) thăm, thăm hỏi, thăm viếng, đến thăm
+) tham quan
+) đi đến, hay đến
+) kiểm tra, thanh tra
+) đến, giáng xuống (tai hoạ...); lan tràn, hoành hành (bệnh tật...)
+) (pháp lý) khám xét
+) (tôn giáo) (+ upon) phạt, trừng phạt
+) (tôn giáo) (+ with) ban cho"
adolescent,a juvenile between the onset of puberty and maturity,n,,adolescent,"
+) đang tuổi thanh niên, trẻ
+) người thanh niên"
inherited,obtain from someone after their death,v,I inherited a castle from my French grandparents,inherit,"
+) được thừa hưởng, được kế tụcinherit /in'herit/
+) hưởng, thừa hưởng, thừa kế
+) là người thừa kế
+) thừa hưởng, kế tục"
biological,pertaining to biology or to life and living things,a,,biological,"
+) (thuộc) sinh vật học"
consumption,the process of taking food into the body through the mouth (as by eating),n,,consumption,"
+) sự tiêu thụ, sự tiêu dùng (hàng hoá, điện, than, nước...)
+) sự tiêu diệt, sự tiêu huỷ, sự tàn phá
+) (y học) bệnh lao phổi
+) (Tech) tiêu thụ
+) sự tiêu dùng"
engaging,carry out or participate in an activity; be involved in,v,"She pursued many activities
They engaged in a discussion",prosecute,"
+) lôi kéo, hấp dẫn; duyên dáng (nụ cười, giọng nói, cái nhìn...)engage /in'geidʤ/
+) hẹn, hứa hẹn, ước hẹn, cam kết; đính ước, hứa hôn
+) thuê (người ở); giữ trước (chỗ ngồi...)
+) lấy (danh dự...) mà cam kết
+) thu hút (sự chú ý...); giành được (tình cảm...); làm cho mát mẻ
+) ((thường) động tính từ quá khứ) mắc bận
+) (quân sự) giao chiến, đánh nhau với
+) (kỹ thuật) gài (số...)
+) (kiến trúc) gắn vào tường; ghép (vật nọ với vật kia)
+) (+ in) làm, tiến hành
+) (kỹ thuật) (+ with) gài, khớp (với)"
